"id","posted_date","company_name","job_title","salary","position_level","qualification","years_of_experience","job_type","job_specialisation","industry","company_size","job_description","min_qualification","min_qualification_broad"
1467,"Posted on 14-Mar-22","ELLSWORTH ADHESIVES (M) SDN. BHD.","Customer Service Executive","","Junior Executive","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","2 years","Full-Time","Services,Logistics/Supply Chain","General & Wholesale Trading","1 - 50","","Diploma","High-skilled"
1468,"Posted on 14-Mar-22","Jora Jobs","Ocean Export Executive","","Junior Executive","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","3 years","Full-Time","Services,Logistics/Supply Chain,Admin/Human Resources,Clerical/Administrative Support","Human Resources Management / Consulting","1 - 50","","Diploma","High-skilled"
1469,"Posted 35 minutes ago","Jora Jobs","Purchasing/Procurement Executive","","Senior Executive","Professional Certificate, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","5 years","Full-Time","Manufacturing,Purchasing/Material Mgmt","Human Resources Management / Consulting","1 - 50","","Professional Certificate","High-skilled"
1470,"Posted on 7-Mar-22","NationGate Solution (M) Sdn Bhd","Warehouse Logistic Manager","MYR�6,600 - MYR�9,500","Manager","Bachelor's Degree, Post Graduate Diploma, Professional Degree","5 years","Full-Time","Services,Logistics/Supply Chain","Electrical & Electronics","1001 - 2000","","Bachelor's Degree","High-skilled"
1471,"Posted on 3-Mar-22","ADVANCED ENERGY INDUSTRIES (MALAYSIA) SDN. BHD.","Production Planner","MYR�3,800 - MYR�7,200","Senior Executive","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","5 years","Full-Time","Manufacturing,Purchasing/Material Mgmt","Manufacturing / Production","1001 - 2000","","Diploma","High-skilled"
1472,"Posted on 28-Feb-22","Laird Technologies (M) Sdn Bhd","LOGISTICS SUPERVISOR","MYR�3,000 - MYR�5,500","Senior Executive","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","8 years","Full-Time","Services,Logistics/Supply Chain","Electrical & Electronics","501 - 1000","","Diploma","High-skilled"
1474,"Posted on 12-Mar-22","Jora Jobs","Driver cum Warehouse Assistant","","Non-Executive","Primary/Secondary School/O Level, Higher Secondary/STPM/'A' Level/Pre-U, Professional Certificate","1 year","Full-Time","Others,General Work,Services,Logistics/Supply Chain","Human Resources Management / Consulting","1 - 50","","Primary/Secondary School/O Level","Low-skilled"
1476,"Posted on 8-Mar-22","AGENSI PEKERJAAN DREAM CAREER SDN BHD","Store Assistant @ Pembantu Gudang (Basic RM1500 - RM1900)","MYR�1,700 - MYR�2,500","Non-Executive","Primary/Secondary School/O Level, Professional Certificate, Diploma, Advanced/Higher/Graduate Diploma","1 year","Full-Time","Manufacturing,Purchasing/Material Mgmt","Human Resources Management / Consulting","1 - 50","","Primary/Secondary School/O Level","Low-skilled"
1481,"Posted on 27-Feb-22","Poo Trading Import & Export Sdn Bhd","Warehouse Operation Supervisor","MYR�3,500 - MYR�4,500","Senior Executive","Not Specified","2 years","Full-Time","Services,Logistics/Supply Chain","Food & Beverage / Catering / Restaurant","201 - 500","","Not Specified","Not Specified"
1492,"Posted on 16-Feb-22","Western Digital","Manager, Production Planning","","Manager","Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree","5 years","Full-Time","Services,Logistics/Supply Chain","Electrical & Electronics","2001 - 5000","","Bachelor's Degree","High-skilled"
1493,"Posted on 15-Feb-22","Q PLAS SDN. BHD.","Planner / Buyer","","Junior Executive","Higher Secondary/STPM/'A' Level/Pre-U, Professional Certificate, Diploma, Advanced/Higher/Graduate Diploma","2 years","Full-Time","Manufacturing,Purchasing/Material Mgmt","Manufacturing / Production","201 - 500","","Higher Secondary/STPM/'A' Level/Pre-U","Mid-skilled"
1496,"Posted on 14-Feb-22","NationGate Solution (M) Sdn Bhd","Sourcing Officer","MYR�3,000 - MYR�5,500","Junior Executive","Not Specified","1 year","Full-Time","Manufacturing,Purchasing/Material Mgmt","Electrical & Electronics","1001 - 2000","","Not Specified","Not Specified"
1497,"Posted on 14-Feb-22","SYARIKAT PERUSAHAAN JOOI BERSAUDARA SDN. BHD.","PURCHASING EXECUTIVE","","Junior Executive","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","1 year","Full-Time","Manufacturing,Purchasing/Material Mgmt","Manufacturing / Production","201 - 500","","Diploma","High-skilled"
1499,"Posted on 16-Feb-22","Plexus Manufacturing Sdn Bhd","Material Costing Administrator","","Senior Executive","Bachelor's Degree, Post Graduate Diploma, Professional Degree","5 years","Full-Time","Manufacturing,Purchasing/Material Mgmt","Electrical & Electronics","> 5000","","Bachelor's Degree","High-skilled"
1517,"Posted 12 hours ago","Micron Semiconductors","Warehouse Supervisor","","Not Specified","Not Specified","","Full-Time","Services,Logistics/Supply Chain","",NA,"","Not Specified","Not Specified"
1518,"Posted 12 hours ago","BHL Metal Industries","Store Executive/Hand","","Not Specified","Not Specified","","Full-Time","Manufacturing,Purchasing/Material Mgmt","Automobile / Automotive Ancillary / Vehicle","51 - 200","","Not Specified","Not Specified"
1521,"Posted 12 hours ago","INTERNATIONAL FLAVORS & FRAGRANCES (MALAYSIA) SDN. BHD.","Process Operator","","Not Specified","Not Specified","","","Services,Logistics/Supply Chain","Manufacturing / Production","51 - 200","","Not Specified","Not Specified"
1522,"Posted 12 hours ago","High Ace Industries Sdn Bhd","Store Helper","","Not Specified","Not Specified","","Full-Time","Manufacturing,Purchasing/Material Mgmt","",NA,"","Not Specified","Not Specified"
1523,"Posted on 8-Mar-22","IBIDEN Electronics Malaysia","Storehand/ Store Keeper","","Not Specified","Not Specified","","Full-Time","Manufacturing,Purchasing/Material Mgmt","Electrical & Electronics","501 - 1000","","Not Specified","Not Specified"
1529,"Posted on 9-Mar-22","Jabil","Warehouse Supervisor I","","Not Specified","Not Specified","","Full-Time","Services,Logistics/Supply Chain","Electrical & Electronics","> 5000","","Not Specified","Not Specified"
1536,"Posted on 2-Mar-22","Prestige Dynamics Industries","PURCHASING OFFICER","","Not Specified","Not Specified","","Full-Time","Manufacturing,Purchasing/Material Mgmt","Manufacturing / Production","201 - 500","","Not Specified","Not Specified"
1538,"Posted 12 hours ago","Micron Semiconductors","Sales Support Representative","","Not Specified","Not Specified","","Full-Time","Services,Logistics/Supply Chain","",NA,"","Not Specified","Not Specified"
1543,"Posted 12 hours ago","Micron Semiconductors","SIG Asia AMDC Test Engineering Supervisor","","Not Specified","Not Specified","","Full-Time","Services,Logistics/Supply Chain","",NA,"","Not Specified","Not Specified"
1578,"Posted on 18-Feb-22","Engtex Metals (Utara)","Lorry Driver","","Not Specified","Not Specified","","Full-Time","Services,Logistics/Supply Chain","Manufacturing / Production","1001 - 2000","","Not Specified","Not Specified"
1593,"Posted on 11-Mar-22","Decor Heaven","LORRY DRIVER","","Not Specified","Not Specified","","Full-Time","Services,Logistics/Supply Chain","General & Wholesale Trading","1 - 50","","Not Specified","Not Specified"
1595,"Posted 12 hours ago","Ovol Malaysia","Warehouse Assistant cum Lorry Driver","","Not Specified","Not Specified","","Full-Time","Services,Logistics/Supply Chain","General & Wholesale Trading","51 - 200","","Not Specified","Not Specified"
1598,"Posted 12 hours ago","Lam Research","Order Fulfillment Program Manager","","Not Specified","Not Specified","","","Services,Logistics/Supply Chain","",NA,"","Not Specified","Not Specified"
1599,"Posted on 7-Mar-22","Bosch","Internship in Logistics","","Not Specified","Not Specified","","Internship","Services,Logistics/Supply Chain","Manufacturing / Production","1001 - 2000","","Not Specified","Not Specified"
1601,"Posted on 12-Mar-22","ZW Packaging","Purchasing & Sourcing","","Not Specified","Not Specified","","Full-Time","Manufacturing,Purchasing/Material Mgmt","Manufacturing / Production","51 - 200","","Not Specified","Not Specified"
1602,"Posted on 11-Mar-22","AGCO GSI","Internship for Purchasing","","Not Specified","Not Specified","","Full-Time","Manufacturing,Purchasing/Material Mgmt","Manufacturing / Production","51 - 200","","Not Specified","Not Specified"
1603,"Posted on 13-Mar-22","Kamen Steel Industries","Store Assistant","","Not Specified","Not Specified","","Full-Time","Manufacturing,Purchasing/Material Mgmt","Manufacturing / Production","51 - 200","","Not Specified","Not Specified"
1604,"Posted on 13-Mar-22","Analog Devices","Assembly Operator","","Not Specified","Not Specified","","Full-Time","Services,Logistics/Supply Chain","Electrical & Electronics","1001 - 2000","","Not Specified","Not Specified"
1605,"Posted 12 hours ago","TOP ZONE AUTO GALLERY","Parts & Warranty Assistant","","Not Specified","Not Specified","","Full-Time","Manufacturing,Purchasing/Material Mgmt","Automobile / Automotive Ancillary / Vehicle","1 - 50","","Not Specified","Not Specified"
1607,"Posted on 28-Feb-22","EPS Malaysia","Asset Management Executive","","Junior Executive","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","2 years","Full-Time","Manufacturing,Purchasing/Material Mgmt","Human Resources Management / Consulting","201 - 500","","Diploma","High-skilled"
1608,"Posted on 2-Mar-22","Tek Seng Sdn Bhd","Storekeeper","MYR�1,500 - MYR�1,750","Entry Level","Primary/Secondary School/O Level, Higher Secondary/STPM/'A' Level/Pre-U, Professional Certificate","","Full-Time","Manufacturing,Purchasing/Material Mgmt","Polymer / Plastic / Rubber / Tyres","201 - 500","","Primary/Secondary School/O Level","Low-skilled"
1609,"Posted on 25-Feb-22","VAT Manufacturing Malaysia Sdn Bhd","Purchasing Assistant","","Junior Executive","Diploma, Advanced/Higher/Graduate Diploma","3 years","Contract","Manufacturing,Purchasing/Material Mgmt","Manufacturing / Production","501 - 1000","","Diploma","High-skilled"
1611,"Posted on 2-Mar-22","Agensi Pekerjaan WAWE Sdn Bhd","BUYER","MYR�2,500 - MYR�3,500","Senior Executive","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","1 year","Full-Time","Manufacturing,Purchasing/Material Mgmt","Human Resources Management / Consulting","201 - 500","","Diploma","High-skilled"
1614,"Posted on 3-Mar-22","Agensi Pekerjaan Jobbuilder Sdn Bhd (JTKSM143B)","Material Planning Manager  #US MNC - MON - FRI | BASED IN JB","MYR�7,000 - MYR�14,000","Manager","Professional Certificate, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","8 years","Full-Time","Manufacturing,Purchasing/Material Mgmt","Human Resources Management / Consulting","1 - 50","","Professional Certificate","High-skilled"
1617,"Posted on 21-Feb-22","VISCO TECHNOLOGY Sdn Bhd","WAREHOUSE OFFICER","","Junior Executive","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","1 year","Full-Time","Manufacturing,Purchasing/Material Mgmt","Manufacturing / Production","501 - 1000","","Diploma","High-skilled"
1620,"Posted on 4-Mar-22","Armstrong Auto Parts","Purchasing Executive","","Not Specified","Not Specified","","Full-Time","Manufacturing,Purchasing/Material Mgmt","Manufacturing / Production","501 - 1000","","Not Specified","Not Specified"
1621,"Posted on 5-Mar-22","Flex","Buyer (Direct)","","Not Specified","Not Specified","","Full-Time","Manufacturing,Purchasing/Material Mgmt","Electrical & Electronics","1 - 50","","Not Specified","Not Specified"
1623,"Posted on 12-Mar-22","Western Digital","Senior Contract Manufacturing Production Planner","","Not Specified","Not Specified","","Full-Time","Manufacturing,Purchasing/Material Mgmt","Electrical & Electronics","2001 - 5000","","Not Specified","Not Specified"
1628,"Posted on 18-Feb-22","RUHO CORPORATION","Warehouse Assistant","","Not Specified","Not Specified","","Full-Time","Services,Logistics/Supply Chain","Manufacturing / Production","51 - 200","","Not Specified","Not Specified"
1635,"Posted on 18-Feb-22","NSR MAJU ENGINEERING & SUPPLIES","Warehouse Assistant","","Not Specified","Not Specified","","Full-Time","Manufacturing,Purchasing/Material Mgmt","Construction / Building / Engineering",NA,"","Not Specified","Not Specified"
1662,"Posted 12 hours ago","North Metal Industrial Sdn Bhd","Sales and Marketing Assistant","","Not Specified","Not Specified","","Full-Time","Services,Logistics/Supply Chain","",NA,"","Not Specified","Not Specified"
1682,"Posted on 8-Mar-22","CG GLOBAL PROFASTEX MANUFACTURING","Material Handler","","Not Specified","Not Specified","","Full-Time","Manufacturing,Purchasing/Material Mgmt","Manufacturing / Production","1001 - 2000","","Not Specified","Not Specified"
1683,"Posted on 12-Mar-22","Dell","Advisor, Demand Planning","","Not Specified","Not Specified","","","Manufacturing,Purchasing/Material Mgmt","Computer/Information Technology (Hardware)","2001 - 5000","","Not Specified","Not Specified"
1684,"Posted on 11-Mar-22","Flex","Buyer Direct","","Not Specified","Not Specified","","Full-Time","Manufacturing,Purchasing/Material Mgmt","Electrical & Electronics","1 - 50","","Not Specified","Not Specified"
1685,"Posted on 12-Mar-22","Dell","Digital Transformation Consultant","","Not Specified","Not Specified","","","Manufacturing,Purchasing/Material Mgmt","Computer/Information Technology (Hardware)","2001 - 5000","","Not Specified","Not Specified"
1686,"Posted on 10-Mar-22","Professional Tools & Dies Sdn Bhd","Planner","","Not Specified","Not Specified","","Full-Time","Manufacturing,Purchasing/Material Mgmt","Manufacturing / Production","201 - 500","","Not Specified","Not Specified"
1688,"Posted on 10-Mar-22","Professional Tools & Dies Sdn Bhd","Storehand","","Not Specified","Not Specified","","Full-Time","Services,Logistics/Supply Chain","Manufacturing / Production","201 - 500","","Not Specified","Not Specified"
1689,"Posted on 10-Mar-22","Professional Tools & Dies Sdn Bhd","Storekeepers","","Not Specified","Not Specified","","Full-Time","Services,Logistics/Supply Chain","Manufacturing / Production","201 - 500","","Not Specified","Not Specified"
1711,"Posted on 13-Feb-22","CHUAN SENG TRADING SDN. BHD.","STOREKEEPER","MYR�1,500 - MYR�2,200","Junior Executive","Primary/Secondary School/O Level, Higher Secondary/STPM/'A' Level/Pre-U","1 year","Full-Time","Manufacturing,Purchasing/Material Mgmt","Others","1 - 50","","Primary/Secondary School/O Level","Low-skilled"
1718,"Posted on 15-Feb-22","Flex","Customer Supply Chain Management Analyst - (WD128059)","","Manager","Bachelor's Degree, Post Graduate Diploma, Professional Degree","","Full-Time","Manufacturing,Purchasing/Material Mgmt","Manufacturing / Production","> 5000","","Bachelor's Degree","High-skilled"
1724,"Posted on 26-Feb-22","Soon Soon Oilmills Sdn. Bhd.","Procurement Manager","","Manager","Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree","5 years","Full-Time","Manufacturing,Purchasing/Material Mgmt","Manufacturing / Production","501 - 1000","","Bachelor's Degree","High-skilled"
1735,"Posted on 26-Feb-22","Amphenol TCS (Malaysia) Sdn Bhd","Planner","","Junior Executive","Bachelor's Degree, Post Graduate Diploma, Professional Degree","2 years","Full-Time","Manufacturing,Purchasing/Material Mgmt","Manufacturing / Production","501 - 1000","","Bachelor's Degree","High-skilled"
1737,"Posted on 24-Feb-22","Yollink Industries Sdn Bhd.","INVENTORY EXECUTIVE","","Junior Executive","Higher Secondary/STPM/'A' Level/Pre-U, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","3 years","Full-Time","Manufacturing,Purchasing/Material Mgmt","Manufacturing / Production","51 - 200","","Higher Secondary/STPM/'A' Level/Pre-U","Mid-skilled"
1742,"Posted on 24-Feb-22","TF AMD MICROELECTRONICS (PENANG) SDN. BHD.","Supply Chain Specialist","","Junior Executive","Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree","2 years","Full-Time","Services,Logistics/Supply Chain","Electrical & Electronics","2001 - 5000","","Bachelor's Degree","High-skilled"
1743,"Posted on 4-Mar-22","Versatile Creation Sdn Bhd (Recruitment Firm)","Senior Planner","","Senior Executive","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree","3 years","Full-Time","Manufacturing,Purchasing/Material Mgmt","Human Resources Management / Consulting","1 - 50","","Diploma","High-skilled"
1744,"Posted 9 hours ago","GREEN NATURE CLASS SDN. BHD.","Sales & Project Coordinator","MYR�2,000 - MYR�3,500","Entry Level","Primary/Secondary School/O Level","2 years","Full-Time","Manufacturing,Purchasing/Material Mgmt","Repair & Maintenance Services",NA,"","Primary/Secondary School/O Level","Low-skilled"
1752,"Posted on 2-Mar-22","SRX Global (Malaysia) Sdn Bhd","Commodity Buyer","","Junior Executive","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","3 years","Full-Time","Manufacturing,Purchasing/Material Mgmt","Manufacturing / Production","51 - 200","","Diploma","High-skilled"
1753,"Posted on 7-Mar-22","Robert Bosch (M) Sdn Bhd","Senior Planner (Customer Order Planning)","","Senior Executive","Bachelor's Degree, Post Graduate Diploma, Professional Degree","5 years","Full-Time","Services,Logistics/Supply Chain","Manufacturing / Production","1001 - 2000","","Bachelor's Degree","High-skilled"
1754,"Posted on 10-Mar-22","WD Media (Malaysia) Sdn","Commodity Manager (Strategic Sourcing/MRO)","","Senior Executive","Bachelor's Degree, Post Graduate Diploma, Professional Degree","5 years","Full-Time","Manufacturing,Purchasing/Material Mgmt","Manufacturing / Production","1001 - 2000","","Bachelor's Degree","High-skilled"
1755,"Posted on 4-Mar-22","Armstrong Auto Parts Sdn Bhd","Sourcing Executive","","Junior Executive","Bachelor's Degree, Post Graduate Diploma, Professional Degree","2 years","Full-Time","Manufacturing,Purchasing/Material Mgmt","Manufacturing / Production","501 - 1000","","Bachelor's Degree","High-skilled"
1756,"Posted on 8-Mar-22","Intel Technology Sdn. Bhd.","Factory Planning Coordinator","","Entry Level","Bachelor's Degree, Post Graduate Diploma, Professional Degree","","Full-Time","Services,Logistics/Supply Chain","Semiconductor/Wafer Fabrication","> 5000","","Bachelor's Degree","High-skilled"
1758,"Posted on 4-Mar-22","ULTRA CLEAN TECHNOLOGY (MALAYSIA) SDN. BHD.","Warehouse Supervisor","","Senior Executive","Diploma, Advanced/Higher/Graduate Diploma","5 years","Full-Time","Services,Logistics/Supply Chain","Semiconductor/Wafer Fabrication","501 - 1000","","Diploma","High-skilled"
1759,"Posted on 7-Mar-22","Jabil Circuit Sdn Bhd","Senior Planner / Planning Supervisor","","Senior Executive","Diploma, Advanced/Higher/Graduate Diploma","8 years","Full-Time","Manufacturing,Purchasing/Material Mgmt","Electrical & Electronics","> 5000","","Diploma","High-skilled"
1761,"Posted on 12-Mar-22","Jora Jobs","Cargo Handler","","Non-Executive","Primary/Secondary School/O Level, Higher Secondary/STPM/'A' Level/Pre-U, Diploma, Advanced/Higher/Graduate Diploma","1 year","Full-Time","Services,Logistics/Supply Chain","Human Resources Management / Consulting","1 - 50","","Primary/Secondary School/O Level","Low-skilled"
1762,"Posted on 6-Mar-22","RK South Asia Sdn Bhd","Purchaser","MYR�2,500 - MYR�3,500","Junior Executive","Primary/Secondary School/O Level","2 years","Full-Time","Manufacturing,Purchasing/Material Mgmt","Manufacturing / Production","201 - 500","","Primary/Secondary School/O Level","Low-skilled"
1763,"Posted on 12-Mar-22","Jora Jobs","Purchasing Clerk","","Junior Executive","Primary/Secondary School/O Level, Higher Secondary/STPM/'A' Level/Pre-U, Diploma, Advanced/Higher/Graduate Diploma","1 year","Full-Time","Manufacturing,Purchasing/Material Mgmt","Human Resources Management / Consulting","1 - 50","","Primary/Secondary School/O Level","Low-skilled"
1764,"Posted on 8-Mar-22","PAN-INTERNATIONAL ELECTRONICS (M) SDN BHD","Buyer","","Junior Executive","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","1 year","Full-Time","Manufacturing,Purchasing/Material Mgmt","Manufacturing / Production","1001 - 2000","","Diploma","High-skilled"
1765,"Posted on 10-Mar-22","Jabil Circuit Sdn Bhd","BUYER (6 months contract)","","Junior Executive","Bachelor's Degree, Post Graduate Diploma, Professional Degree","2 years","Full-Time","Manufacturing,Purchasing/Material Mgmt","Electrical & Electronics","> 5000","","Bachelor's Degree","High-skilled"
1766,"Posted on 12-Mar-22","AGENSI PEKERJAAN JS STAFFING SERVICES SDN BHD","Buyer cum Sourcing Executive (Pioneer) - US Company","MYR�4,000 - MYR�6,500","Senior Executive","Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree, Doctorate (PhD)","5 years","Full-Time","Manufacturing,Purchasing/Material Mgmt","Human Resources Management / Consulting","1 - 50","","Bachelor's Degree","High-skilled"
1769,"Posted on 3-Mar-22","Hotayi Electronic (M) Sdn Bhd (Hotayi Group)","Material Planner","","Junior Executive","Professional Certificate, Bachelor's Degree, Post Graduate Diploma, Professional Degree","1 year","Full-Time","Manufacturing,Purchasing/Material Mgmt","Manufacturing / Production","1001 - 2000","","Professional Certificate","High-skilled"
1772,"Posted on 1-Mar-22","Sunway Malls","Procurement Executive (Sunway Carnival)","MYR�3,500 - MYR�4,300","Junior Executive","Bachelor's Degree, Post Graduate Diploma, Professional Degree","3 years","Full-Time","Manufacturing,Purchasing/Material Mgmt","Retail / Merchandise","501 - 1000","","Bachelor's Degree","High-skilled"
1773,"Posted on 2-Mar-22","Jora Jobs","Intern for Business Studies/ Management Students (Purchasing)","","Entry Level","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","","Internship","Manufacturing,Purchasing/Material Mgmt","Human Resources Management / Consulting","1 - 50","","Diploma","High-skilled"
1779,"Posted on 9-Mar-22","Agensi Pekerjaan PERSOLKELLY Malaysia Sdn Bhd","Purchasing Manager @ Penang MNC (ID: 543982)","","Manager","Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree","7 years","Full-Time","Manufacturing,Purchasing/Material Mgmt","Human Resources Management / Consulting","201 - 500","","Bachelor's Degree","High-skilled"
1782,"Posted on 1-Mar-22","TF AMD MICROELECTRONICS (PENANG) SDN. BHD.","Production Planning Section Manager","","Manager","Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree","8 years","Full-Time","Manufacturing,Purchasing/Material Mgmt","Electrical & Electronics","2001 - 5000","","Bachelor's Degree","High-skilled"
1783,"Posted on 25-Feb-22","Aemulus Corporation Sdn Bhd","Procurement Manager","","Manager","Bachelor's Degree, Post Graduate Diploma, Professional Degree","4 years","Full-Time","Manufacturing,Purchasing/Material Mgmt","Electrical & Electronics","51 - 200","","Bachelor's Degree","High-skilled"
1785,"Posted on 27-Feb-22","Company Confidential","Purchasing Representative (50098) (JG)","MYR�4,000 - MYR�6,000","Senior Executive","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree","5 years","Full-Time","Manufacturing,Purchasing/Material Mgmt","",NA,"","Diploma","High-skilled"
1790,"Posted on 1-Mar-22","AGENSI PEKERJAAN JS STAFFING SERVICES SDN BHD","Purchasing, Senior Executive / Manager (Based in Penang)","MYR�4,500 - MYR�9,000","Senior Executive","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","3 years","Full-Time","Manufacturing,Purchasing/Material Mgmt","Human Resources Management / Consulting","1 - 50","","Diploma","High-skilled"
1791,"Posted on 21-Feb-22","Robert Bosch (M) Sdn Bhd","Internship in Logistics (Receiving Time Window Coordinator)","","Entry Level","Bachelor's Degree, Post Graduate Diploma, Professional Degree","","Internship","Services,Logistics/Supply Chain","Manufacturing / Production","1001 - 2000","","Bachelor's Degree","High-skilled"
1792,"Posted on 24-Feb-22","Plexus Manufacturing Sdn Bhd","Purchasing Clerk","","Non-Executive","Diploma, Advanced/Higher/Graduate Diploma","1 year","Full-Time","Manufacturing,Purchasing/Material Mgmt","Electrical & Electronics","> 5000","","Diploma","High-skilled"
1793,"Posted on 22-Feb-22","Dell Global Business Center Sdn Bhd","Advisor, Global Supply Management","","Senior Executive","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree","7 years","Full-Time","Services,Logistics/Supply Chain","Computer/Information Technology (Hardware)","2001 - 5000","","Diploma","High-skilled"
1796,"Posted on 21-Feb-22","Loytape Industries Sdn Bhd (PG)","PLANNING CLERK (MATERIAL)","MYR�1,600 - MYR�2,000","Junior Executive","Not Specified","1 year","Full-Time","Manufacturing,Purchasing/Material Mgmt","Manufacturing / Production","51 - 200","","Not Specified","Not Specified"
1801,"Posted on 12-Mar-22","Dell","Advisor, Logistics","","Not Specified","Not Specified","","","Services,Logistics/Supply Chain","Computer/Information Technology (Hardware)","2001 - 5000","","Not Specified","Not Specified"
1802,"Posted 13 hours ago","Berjayapak","Administrative Assistant","","Not Specified","Not Specified","","Full-Time","Manufacturing,Purchasing/Material Mgmt","Manufacturing / Production","201 - 500","","Not Specified","Not Specified"
1804,"Posted 12 hours ago","PUNCH INDUSTRY MALAYSIA","Store Assistant","","Not Specified","Not Specified","","Full-Time","Services,Logistics/Supply Chain","Heavy Industrial / Machinery / Equipment","51 - 200","","Not Specified","Not Specified"
1807,"Posted 12 hours ago","Soon Soon Feedmills Sdn. Bhd.","Pekerja Kilang","","Not Specified","Not Specified","","Full-Time","Manufacturing,Purchasing/Material Mgmt","",NA,"","Not Specified","Not Specified"
1809,"Posted on 12-Mar-22","Dell","Advisor Purchasing","","Not Specified","Not Specified","","","Manufacturing,Purchasing/Material Mgmt","Computer/Information Technology (Hardware)","2001 - 5000","","Not Specified","Not Specified"
1811,"Posted on 13-Mar-22","CHOP TONG GUAN","GENERAL WORKER","","Not Specified","Not Specified","","Full-Time","Services,Logistics/Supply Chain","General & Wholesale Trading","201 - 500","","Not Specified","Not Specified"
1824,"Posted on 2-Mar-22","Intel","Planning Analyst","","Not Specified","Not Specified","","Contract","Services,Logistics/Supply Chain","Semiconductor/Wafer Fabrication","> 5000","","Not Specified","Not Specified"
1826,"Posted on 1-Mar-22","Hospital Lam Wah Ee","ASSISTANT STOREKEEPER","","Not Specified","Not Specified","","Full-Time","Services,Logistics/Supply Chain","Healthcare / Medical","1001 - 2000","","Not Specified","Not Specified"
1831,"Posted on 12-Mar-22","Dell","Senior Analyst, Global D&CP Transition","","Not Specified","Not Specified","","","Manufacturing,Purchasing/Material Mgmt","Computer/Information Technology (Hardware)","2001 - 5000","","Not Specified","Not Specified"
1849,"Posted on 20-Feb-22","Update Paper Sdn. Bhd.","LORRY DRIVER","","Not Specified","Not Specified","","Full-Time","Services,Logistics/Supply Chain","Manufacturing / Production","1 - 50","","Not Specified","Not Specified"
1850,"Posted on 16-Feb-22","SF METAL","GENERAL CLERK(CHINESE)","","Not Specified","Not Specified","","Full-Time","Manufacturing,Purchasing/Material Mgmt","Manufacturing / Production","1 - 50","","Not Specified","Not Specified"
1851,"Posted on 18-Feb-22","E-RED HOTEL SDN. BHD.","Company Driver","","Not Specified","Not Specified","","Full-Time","Services,Logistics/Supply Chain","Hotel / Hospitality","1 - 50","","Not Specified","Not Specified"
1856,"Posted on 2-Mar-22","Prestige Dynamics Industries","STORE HAND","","Not Specified","Not Specified","","Full-Time","Manufacturing,Purchasing/Material Mgmt","Manufacturing / Production","201 - 500","","Not Specified","Not Specified"
1862,"Posted on 15-Feb-22","Flex","Planner Scheduler - (WD128060)","","Senior Executive","Bachelor's Degree, Post Graduate Diploma, Professional Degree","","Full-Time","Manufacturing,Purchasing/Material Mgmt","Manufacturing / Production","> 5000","","Bachelor's Degree","High-skilled"
1866,"Posted on 13-Feb-22","Watson's Personal Care Stores Sdn. Bhd.","Warehouse Supervisor","","Junior Executive","Primary/Secondary School/O Level, Diploma, Advanced/Higher/Graduate Diploma","2 years","Full-Time","Services,Logistics/Supply Chain","Retail / Merchandise","1001 - 2000","","Primary/Secondary School/O Level","Low-skilled"
